var,label
V1,Wave
V2,Country/region
V2A,Country/regions [with split ups]
cow,COW Country Code
C_COW_ALPHA,Country code CoW alpha
B_COUNTRY_ALPHA,Country code ISO 3166 alpha
V3,Original respondent number
V4,Important in life: Family
V5,Important in life: Friends
V6,Important in life: Leisure time
V7,Important in life: Politics
V8,Important in life: Work
V9,Important in life: Religion
V10,Feeling of happiness
V11,State of health (subjective)
V12,Important child qualities: independence
V13,Important child qualities: Hard work
V14,Important child qualities: feeling of responsibility
V15,Important child qualities: imagination
V16,Important child qualities: tolerance and respect for other people
V17,Important child qualities: thrift saving money and things
V18,Important child qualities: determination perseverance
V19,Important child qualities: religious faith
V20,Important child qualities: unselfishness
V21,Important child qualities: obedience
V22,Important child qualities: Self-expression
V23,Satisfaction with your life
V24,Most people can be trusted
V25,Active/Inactive membership of church or religious organization
V26,Active/Inactive membership of sport or recreation
V27,"Active/Inactive membership of art, music, educational"
V28,Active/Inactive membership of labour unions
V29,Active/Inactive membership of political party
V30,Active/Inactive membership of environmental organization
V31,Active/Inactive membership of professional organization
V32,Active/Inactive membership of charitable/humanitarian organization
V33,Active/Inactive membership: Consumer organization
V34,"Active/Inactive membership: Self-help group, mutual aid group"
V35,Active/Inactive membership of any other organization
V36,Neighbours: Drug addicts
V37,Neighbours: People of a different race
V38,Neighbours: People who have AIDS
V39,Neighbours: Immigrants/foreign workers
V40,Neighbours: Homosexuals
V41,Neighbours: People of a different religion
V42,Neighbours: Heavy drinkers
V43,Neighbours: Unmarried couples living together
V44,Neighbours: People who speak a different language
V44_ES,Neighbours: Gypsies
V45,Jobs scarce: Men should have more right to a job than women
V46,Jobs scarce: Employers should give priority to (nation) people than immigrants
V47,Problem if women have more income than husband (B)
V48,Job best way for women to be independent (b)
V49,One of main goals in life has been to make my parents proud
V50,Pre-school child suffers with working mother
V51,Men make better political leaders than women do
V52,University is more important for a boy than for a girl
V53,Men make better business executives than women do
V54,Being a housewife just as fulfilling
V55,How much freedom of choice and control
V56,Do you think most people try to take advantage of you (10 point scale)
